# file	start	end	name	areas
xray-manager.sh	28	28	info	
xray-manager.sh	29	29	ok	
xray-manager.sh	30	30	warn	
xray-manager.sh	31	32	err	
xray-manager.sh	33	53	usage	launcher
xray-manager.sh	54	80	manager_version_action	launcher
xray-manager.sh	81	104	approve_target_version	launcher
xray-manager.sh	105	135	acquire_manager_lock	launcher
xray-manager.sh	136	154	release_manager_lock	launcher
xray-manager.sh	155	163	cleanup_legacy_update_state	launcher
xray-manager.sh	164	168	get_token	launcher
xray-manager.sh	169	191	curl_private	launcher
xray-manager.sh	192	202	sha256_file	launcher
xray-manager.sh	203	215	verify_payload	launcher
xray-manager.sh	216	230	patch_core_for_launcher	launcher
xray-manager.sh	231	239	manager_layout_paths	launcher
xray-manager.sh	240	249	manager_can_write	launcher
xray-manager.sh	250	256	manager_needs_sudo	launcher
xray-manager.sh	257	268	run_priv	launcher
xray-manager.sh	269	276	read_project_version	launcher
xray-manager.sh	277	284	read_core_version	launcher
xray-manager.sh	285	291	resolve_link	launcher
xray-manager.sh	292	303	verify_release_dir	launcher
xray-manager.sh	304	321	selfcheck_current_release	launcher
xray-manager.sh	322	341	atomic_symlink	launcher
xray-manager.sh	342	345	install_release_file	launcher
xray-manager.sh	346	365	replace_with_symlink	launcher
xray-manager.sh	366	375	ensure_compat_links	launcher
xray-manager.sh	376	386	choose_release_dir	launcher
xray-manager.sh	387	400	prune_old_releases	launcher
xray-manager.sh	401	446	migrate_legacy_layout	launcher
xray-manager.sh	447	456	restore_current_link	launcher
xray-manager.sh	457	554	install_pair	launcher
xray-manager.sh	555	588	rollback_manager	launcher
xray-manager.sh	589	641	self_update_github	launcher
xray-manager.sh	642	646	self_update	launcher
xray-manager.sh	647	663	print_version	launcher
xray-manager.sh	664	711	run_core	launcher
install.sh	40	40	info	
install.sh	41	41	ok	
install.sh	42	42	warn	
install.sh	43	44	err	
install.sh	45	95	usage	
install.sh	96	100	get_token	
install.sh	101	143	curl_private	
install.sh	144	154	sha256_file	
install.sh	155	167	verify_payload	
install.sh	168	185	patch_core_for_launcher	
install.sh	186	193	read_marker_version	
install.sh	194	203	can_write_path	
install.sh	204	217	privileged	
install.sh	218	276	detect_legacy_installation	
install.sh	277	315	report_legacy_installation	
install.sh	316	349	backup_legacy_manager	
install.sh	350	366	verify_new_xraym	
install.sh	367	377	cleanup_retired_state_files	
install.sh	378	418	print_migration_summary	
install.sh	419	427	install_release_pair	
install.sh	428	456	install_runtime_dependencies	
install.sh	457	514	cleanup	
offline-install.sh	17	17	err	
offline-install.sh	18	19	ok	
offline-install.sh	20	64	usage	
offline-install.sh	65	74	sha256_file	
offline-install.sh	75	125	verify_repo_file	
lib/xray-manager-core.sh	50	50	info	
